train/verb-accuracy,train/noun-accuracy,val/verb-accuracy,val/noun-accuracy,test/verb-accuracy,test/noun-accuracy
0.2,0.0,,,,
0.5,0.1,,,,
0.1,0.0,,,,
0.3,0.0,,,,
0.0,0.0,,,,
0.2,0.1,,,,
0.2,0.0,,,,
0.2,0.1,,,,
0.1,0.1,,,,
0.2,0.1,,,,
0.2,0.2,,,,
0.3,0.0,,,,
0.4,0.0,,,,
0.3,0.0,,,,
0.4,0.0,,,,
0.0,0.0,,,,
0.3,0.1,,,,
0.3,0.2,,,,
0.1,0.0,,,,
0.3,0.1,,,,
0.0,0.1,,,,
0.3,0.1,,,,
0.1,0.0,,,,
0.2,0.0,,,,
0.3,0.0,,,,
0.5,0.2,,,,
0.2,0.0,,,,
0.1,0.3,,,,
0.1,0.1,,,,
0.4,0.0,,,,
0.0,0.0,,,,
0.1,0.1,,,,
0.2,0.1,,,,
0.4,0.4,,,,
0.4,0.0,,,,
0.1,0.2,,,,
0.4,0.3,,,,
0.1,0.0,,,,
0.1,0.2,,,,
0.2,0.4,,,,
0.2,0.4,,,,
0.3,0.0,,,,
0.1,0.1,,,,
0.1,0.3,,,,
0.5,0.2,,,,
0.2,0.1,,,,
0.4,0.3,,,,
0.2,0.1,,,,
0.4,0.1,,,,
,,0.22383252818035426,0.08051529790660225,,
,,,,0.20739549839228297,0.10610932475884244
0.1,0.1,,,,
0.1,0.0,,,,
0.2,0.1,,,,
0.4,0.1,,,,
0.3,0.0,,,,
0.2,0.4,,,,
0.4,0.2,,,,
0.3,0.4,,,,
0.5,0.2,,,,
0.5,0.3,,,,
0.3,0.1,,,,
0.4,0.3,,,,
0.3,0.1,,,,
0.2,0.0,,,,
0.1,0.1,,,,
0.3,0.3,,,,
0.0,0.1,,,,
0.4,0.3,,,,
0.4,0.4,,,,
0.3,0.1,,,,
0.3,0.0,,,,
0.2,0.4,,,,
0.3,0.2,,,,
0.3,0.1,,,,
0.5,0.2,,,,
0.5,0.3,,,,
0.5,0.1,,,,
0.4,0.1,,,,
0.3,0.2,,,,
0.1,0.2,,,,
0.2,0.1,,,,
0.4,0.3,,,,
0.6,0.2,,,,
0.3,0.2,,,,
0.2,0.2,,,,
0.3,0.3,,,,
0.1,0.2,,,,
0.2,0.3,,,,
0.3,0.2,,,,
0.5,0.1,,,,
0.2,0.3,,,,
0.1,0.2,,,,
0.1,0.1,,,,
0.2,0.2,,,,
0.2,0.3,,,,
0.3,0.4,,,,
0.2,0.0,,,,
0.2,0.2,,,,
0.3,0.4,,,,
,,0.25925925925925924,0.12399355877616747,,
,,,,0.24115755627009647,0.1302250803858521
0.2,0.3,,,,
0.4,0.4,,,,
0.6,0.2,,,,
