train/verb-accuracy,train/noun-accuracy,val/verb-accuracy,val/noun-accuracy,test/verb-accuracy,test/noun-accuracy
0.4,0.0,,,,
0.3,0.2,,,,
0.4,0.1,,,,
0.2,0.0,,,,
0.1,0.0,,,,
0.2,0.4,,,,
0.2,0.1,,,,
0.4,0.0,,,,
0.0,0.1,,,,
0.1,0.1,,,,
0.2,0.2,,,,
0.2,0.1,,,,
0.2,0.1,,,,
0.1,0.0,,,,
0.1,0.1,,,,
0.0,0.0,,,,
0.1,0.0,,,,
0.1,0.0,,,,
0.2,0.1,,,,
0.5,0.0,,,,
0.3,0.1,,,,
0.2,0.1,,,,
0.4,0.0,,,,
0.2,0.2,,,,
0.2,0.0,,,,
0.4,0.0,,,,
0.1,0.0,,,,
0.2,0.1,,,,
0.5,0.1,,,,
0.1,0.0,,,,
0.3,0.2,,,,
0.1,0.1,,,,
0.4,0.0,,,,
0.3,0.1,,,,
0.3,0.3,,,,
0.2,0.2,,,,
0.2,0.1,,,,
0.1,0.1,,,,
0.1,0.1,,,,
0.2,0.4,,,,
0.1,0.3,,,,
0.3,0.0,,,,
0.1,0.0,,,,
0.3,0.1,,,,
0.5,0.2,,,,
0.4,0.1,,,,
0.0,0.0,,,,
0.4,0.2,,,,
0.2,0.1,,,,
,,0.23349436392914655,0.08856682769726248,,
,,,,0.19131832797427653,0.09646302250803858
0.3,0.2,,,,
0.4,0.4,,,,
0.3,0.3,,,,
0.2,0.2,,,,
0.5,0.3,,,,
0.1,0.1,,,,
0.3,0.2,,,,
0.4,0.3,,,,
0.3,0.2,,,,
0.2,0.3,,,,
0.3,0.3,,,,
0.2,0.2,,,,
0.4,0.2,,,,
0.1,0.0,,,,
0.1,0.2,,,,
0.4,0.4,,,,
0.2,0.2,,,,
0.2,0.3,,,,
0.1,0.3,,,,
0.2,0.2,,,,
0.2,0.4,,,,
0.4,0.5,,,,
0.3,0.3,,,,
0.2,0.1,,,,
0.3,0.4,,,,
0.2,0.2,,,,
0.3,0.3,,,,
0.4,0.4,,,,
0.4,0.4,,,,
0.1,0.1,,,,
0.5,0.3,,,,
0.5,0.2,,,,
0.2,0.3,,,,
0.4,0.1,,,,
0.6,0.0,,,,
0.3,0.2,,,,
0.2,0.3,,,,
0.2,0.1,,,,
0.5,0.1,,,,
0.3,0.1,,,,
0.1,0.1,,,,
0.3,0.2,,,,
0.3,0.4,,,,
0.6,0.2,,,,
0.2,0.2,,,,
0.5,0.1,,,,
0.3,0.0,,,,
0.2,0.2,,,,
0.3,0.4,,,,
,,0.13043478260869565,0.14170692431561996,,
,,,,0.15755627009646303,0.12218649517684887
0.4,0.4,,,,
0.3,0.3,,,,
0.1,0.5,,,,
0.2,0.4,,,,
0.3,0.3,,,,
0.4,0.2,,,,
0.5,0.2,,,,
0.4,0.1,,,,
0.3,0.3,,,,
0.3,0.1,,,,
0.4,0.3,,,,
0.4,0.3,,,,
0.3,0.3,,,,
0.3,0.1,,,,
0.5,0.4,,,,
0.1,0.2,,,,
0.3,0.4,,,,
0.2,0.4,,,,
0.4,0.4,,,,
0.3,0.3,,,,
0.3,0.3,,,,
0.3,0.4,,,,
0.1,0.1,,,,
0.4,0.4,,,,
0.5,0.5,,,,
0.2,0.3,,,,
0.3,0.6,,,,
0.4,0.3,,,,
0.4,0.3,,,,
0.4,0.5,,,,
0.4,0.2,,,,
0.3,0.0,,,,
0.4,0.5,,,,
0.1,0.4,,,,
0.6,0.2,,,,
0.5,0.1,,,,
0.1,0.3,,,,
0.7,0.7,,,,
0.4,0.3,,,,
0.5,0.3,,,,
0.4,0.2,,,,
0.4,0.3,,,,
0.3,0.2,,,,
0.2,0.4,,,,
0.2,0.2,,,,
0.2,0.2,,,,
0.2,0.4,,,,
0.3,0.2,,,,
0.6,0.4,,,,
,,0.22705314009661837,0.214170692431562,,
,,,,0.21221864951768488,0.24758842443729903
0.6,0.4,,,,
0.6,0.3,,,,
0.6,0.5,,,,
0.1,0.3,,,,
0.2,0.1,,,,
0.4,0.4,,,,
0.2,0.6,,,,
0.4,0.3,,,,
0.6,0.7,,,,
0.5,0.3,,,,
0.6,0.3,,,,
0.6,0.4,,,,
0.5,0.5,,,,
0.7,0.6,,,,
0.5,0.3,,,,
0.3,0.2,,,,
0.1,0.2,,,,
0.2,0.2,,,,
0.4,0.3,,,,
0.4,0.2,,,,
0.5,0.4,,,,
0.3,0.4,,,,
0.4,0.2,,,,
0.3,0.7,,,,
0.2,0.6,,,,
0.3,0.3,,,,
0.3,0.4,,,,
0.1,0.4,,,,
0.4,0.2,,,,
0.4,0.2,,,,
0.2,0.2,,,,
0.6,0.5,,,,
0.4,0.3,,,,
0.5,0.4,,,,
0.6,0.6,,,,
