train/verb-accuracy,train/noun-accuracy,val/verb-accuracy,val/noun-accuracy,test/verb-accuracy,test/noun-accuracy
0.2,0.0,,,,
0.2,0.0,,,,
0.1,0.0,,,,
0.2,0.0,,,,
0.1,0.0,,,,
0.0,0.0,,,,
0.3,0.0,,,,
0.1,0.0,,,,
0.3,0.1,,,,
0.2,0.1,,,,
0.1,0.0,,,,
0.2,0.1,,,,
0.0,0.0,,,,
0.2,0.0,,,,
0.3,0.0,,,,
0.1,0.0,,,,
0.3,0.0,,,,
0.0,0.0,,,,
0.2,0.1,,,,
0.1,0.0,,,,
0.4,0.0,,,,
0.1,0.1,,,,
0.1,0.0,,,,
0.2,0.0,,,,
0.2,0.1,,,,
0.4,0.0,,,,
0.2,0.1,,,,
0.2,0.0,,,,
0.2,0.1,,,,
0.1,0.0,,,,
0.0,0.1,,,,
0.1,0.1,,,,
0.0,0.0,,,,
0.1,0.0,,,,
0.1,0.1,,,,
0.3,0.1,,,,
0.4,0.2,,,,
0.2,0.0,,,,
0.0,0.0,,,,
0.3,0.1,,,,
0.0,0.1,,,,
0.6,0.1,,,,
0.2,0.2,,,,
0.2,0.1,,,,
0.2,0.1,,,,
0.4,0.2,,,,
0.6,0.0,,,,
0.2,0.0,,,,
0.2,0.3,,,,
,,0.0821256038647343,0.08051529790660225,,
,,,,0.13344051446945338,0.07395498392282958
0.2,0.0,,,,
0.1,0.1,,,,
0.1,0.1,,,,
0.3,0.1,,,,
0.0,0.1,,,,
0.2,0.0,,,,
0.4,0.1,,,,
0.3,0.0,,,,
0.4,0.2,,,,
0.1,0.1,,,,
0.3,0.2,,,,
0.2,0.2,,,,
0.2,0.0,,,,
0.2,0.2,,,,
0.1,0.1,,,,
0.4,0.1,,,,
0.3,0.2,,,,
0.2,0.2,,,,
0.0,0.2,,,,
0.2,0.1,,,,
0.0,0.1,,,,
0.4,0.3,,,,
0.4,0.0,,,,
0.1,0.1,,,,
0.1,0.2,,,,
0.3,0.3,,,,
0.2,0.0,,,,
0.4,0.2,,,,
0.3,0.0,,,,
0.3,0.1,,,,
0.2,0.2,,,,
0.3,0.1,,,,
0.2,0.0,,,,
0.3,0.2,,,,
0.4,0.1,,,,
0.2,0.1,,,,
0.1,0.4,,,,
0.1,0.3,,,,
0.5,0.0,,,,
0.2,0.1,,,,
0.1,0.3,,,,
0.2,0.0,,,,
0.1,0.3,,,,
0.1,0.0,,,,
0.0,0.2,,,,
0.3,0.1,,,,
0.4,0.2,,,,
0.4,0.0,,,,
0.1,0.0,,,,
,,0.20128824476650564,0.10144927536231885,,
,,,,0.21061093247588425,0.12218649517684887
0.2,0.2,,,,
0.4,0.0,,,,
0.3,0.1,,,,
0.2,0.1,,,,
0.2,0.4,,,,
0.5,0.2,,,,
0.4,0.3,,,,
0.6,0.1,,,,
0.3,0.2,,,,
0.1,0.2,,,,
0.2,0.0,,,,
0.0,0.1,,,,
0.3,0.1,,,,
0.4,0.2,,,,
0.2,0.2,,,,
0.3,0.1,,,,
0.5,0.4,,,,
0.3,0.3,,,,
0.2,0.3,,,,
0.2,0.1,,,,
0.2,0.3,,,,
0.2,0.2,,,,
0.0,0.0,,,,
0.1,0.1,,,,
0.4,0.2,,,,
0.0,0.0,,,,
0.3,0.1,,,,
0.4,0.0,,,,
0.3,0.1,,,,
0.1,0.1,,,,
0.2,0.3,,,,
0.0,0.1,,,,
0.2,0.1,,,,
0.3,0.1,,,,
0.6,0.2,,,,
0.4,0.2,,,,
0.4,0.1,,,,
0.1,0.1,,,,
0.3,0.2,,,,
0.2,0.1,,,,
0.2,0.4,,,,
0.1,0.3,,,,
0.5,0.3,,,,
0.2,0.1,,,,
0.6,0.1,,,,
0.1,0.0,,,,
0.5,0.1,,,,
0.4,0.3,,,,
0.1,0.1,,,,
,,0.0821256038647343,0.05314009661835749,,
,,,,0.11736334405144695,0.06109324758842444
0.2,0.2,,,,
0.2,0.2,,,,
0.3,0.1,,,,
0.4,0.1,,,,
0.0,0.0,,,,
0.2,0.3,,,,
0.3,0.2,,,,
0.2,0.0,,,,
0.5,0.3,,,,
0.5,0.1,,,,
0.2,0.3,,,,
0.1,0.1,,,,
0.6,0.3,,,,
0.5,0.2,,,,
0.3,0.1,,,,
0.4,0.1,,,,
0.4,0.1,,,,
0.3,0.3,,,,
0.2,0.1,,,,
0.1,0.1,,,,
0.0,0.2,,,,
0.4,0.1,,,,
0.5,0.3,,,,
0.3,0.2,,,,
0.3,0.4,,,,
0.0,0.3,,,,
0.3,0.0,,,,
0.3,0.1,,,,
0.5,0.2,,,,
0.1,0.1,,,,
0.3,0.0,,,,
0.3,0.1,,,,
0.3,0.3,,,,
0.3,0.3,,,,
0.2,0.1,,,,
0.4,0.3,,,,
0.6,0.2,,,,
0.3,0.2,,,,
0.2,0.1,,,,
0.5,0.2,,,,
0.2,0.2,,,,
0.2,0.2,,,,
0.5,0.0,,,,
0.0,0.4,,,,
0.3,0.1,,,,
0.1,0.1,,,,
0.6,0.4,,,,
0.0,0.4,,,,
0.3,0.2,,,,
,,0.24154589371980675,0.16747181964573268,,
,,,,0.3183279742765273,0.15916398713826366
0.0,0.3,,,,
0.1,0.0,,,,
0.2,0.1,,,,
0.4,0.3,,,,
0.5,0.2,,,,
0.5,0.4,,,,
0.2,0.4,,,,
0.3,0.4,,,,
0.3,0.3,,,,
0.6,0.1,,,,
0.2,0.0,,,,
0.2,0.1,,,,
0.0,0.1,,,,
0.4,0.2,,,,
0.3,0.4,,,,
0.1,0.2,,,,
0.2,0.3,,,,
0.2,0.2,,,,
0.2,0.0,,,,
0.3,0.2,,,,
0.6,0.1,,,,
0.3,0.3,,,,
0.2,0.1,,,,
0.1,0.4,,,,
0.4,0.2,,,,
0.2,0.3,,,,
0.1,0.3,,,,
0.4,0.4,,,,
0.2,0.2,,,,
0.1,0.1,,,,
0.3,0.3,,,,
0.3,0.0,,,,
0.3,0.2,,,,
0.5,0.2,,,,
0.5,0.2,,,,
0.4,0.2,,,,
0.2,0.1,,,,
0.4,0.3,,,,
0.3,0.2,,,,
0.4,0.2,,,,
0.2,0.2,,,,
0.3,0.4,,,,
0.3,0.1,,,,
0.5,0.5,,,,
0.6,0.2,,,,
0.4,0.1,,,,
0.1,0.0,,,,
0.4,0.3,,,,
0.2,0.4,,,,
,,0.28502415458937197,0.2028985507246377,,
,,,,0.30064308681672025,0.1720257234726688
0.3,0.4,,,,
0.4,0.1,,,,
0.5,0.1,,,,
0.2,0.1,,,,
0.7,0.3,,,,
0.3,0.2,,,,
0.6,0.5,,,,
0.4,0.1,,,,
0.2,0.1,,,,
0.4,0.1,,,,
0.3,0.4,,,,
0.4,0.3,,,,
0.2,0.6,,,,
0.3,0.3,,,,
0.4,0.4,,,,
0.6,0.3,,,,
0.2,0.3,,,,
0.4,0.1,,,,
0.4,0.1,,,,
0.4,0.3,,,,
0.3,0.2,,,,
0.3,0.4,,,,
0.4,0.2,,,,
0.5,0.2,,,,
0.3,0.1,,,,
0.4,0.2,,,,
0.2,0.1,,,,
0.1,0.1,,,,
0.4,0.1,,,,
0.4,0.4,,,,
0.5,0.3,,,,
0.5,0.2,,,,
0.2,0.1,,,,
0.3,0.8,,,,
0.6,0.4,,,,
0.4,0.3,,,,
0.3,0.3,,,,
0.3,0.2,,,,
0.3,0.2,,,,
0.3,0.4,,,,
0.5,0.2,,,,
0.8,0.3,,,,
0.6,0.3,,,,
0.4,0.1,,,,
0.4,0.0,,,,
0.6,0.5,,,,
0.3,0.2,,,,
0.2,0.0,,,,
0.5,0.6,,,,
,,0.2946859903381642,0.15780998389694043,,
,,,,0.32636655948553056,0.14469453376205788
0.5,0.5,,,,
0.2,0.3,,,,
0.3,0.1,,,,
0.4,0.2,,,,
0.3,0.3,,,,
0.2,0.0,,,,
0.3,0.2,,,,
0.3,0.2,,,,
0.1,0.4,,,,
0.1,0.2,,,,
0.3,0.2,,,,
0.4,0.3,,,,
0.1,0.5,,,,
0.3,0.2,,,,
0.6,0.7,,,,
0.4,0.2,,,,
0.4,0.1,,,,
0.2,0.0,,,,
0.3,0.3,,,,
0.3,0.1,,,,
0.4,0.2,,,,
0.4,0.2,,,,
0.3,0.4,,,,
0.4,0.4,,,,
0.1,0.2,,,,
0.4,0.3,,,,
0.4,0.4,,,,
0.4,0.4,,,,
0.2,0.4,,,,
0.3,0.5,,,,
0.2,0.4,,,,
0.4,0.2,,,,
0.6,0.3,,,,
0.4,0.3,,,,
0.3,0.3,,,,
0.3,0.4,,,,
0.3,0.3,,,,
0.6,0.1,,,,
0.2,0.5,,,,
0.4,0.3,,,,
0.3,0.2,,,,
0.2,0.1,,,,
0.3,0.3,,,,
0.1,0.2,,,,
0.2,0.3,,,,
0.3,0.2,,,,
0.4,0.2,,,,
0.3,0.2,,,,
0.5,0.3,,,,
,,0.14009661835748793,0.13848631239935588,,
,,,,0.15112540192926044,0.1639871382636656
0.1,0.3,,,,
0.3,0.2,,,,
0.3,0.4,,,,
0.1,0.2,,,,
0.3,0.4,,,,
0.4,0.3,,,,
0.5,0.5,,,,
0.1,0.3,,,,
0.5,0.3,,,,
0.8,0.3,,,,
0.7,0.2,,,,
0.3,0.6,,,,
0.5,0.3,,,,
0.1,0.2,,,,
0.2,0.3,,,,
0.3,0.5,,,,
0.6,0.4,,,,
0.4,0.3,,,,
0.4,0.3,,,,
0.6,0.4,,,,
0.4,0.4,,,,
0.2,0.4,,,,
0.4,0.2,,,,
0.4,0.4,,,,
0.6,0.3,,,,
0.4,0.1,,,,
0.4,0.3,,,,
0.4,0.2,,,,
0.4,0.2,,,,
0.4,0.3,,,,
0.4,0.3,,,,
0.2,0.0,,,,
0.4,0.3,,,,
0.6,0.4,,,,
0.3,0.6,,,,
0.4,0.2,,,,
0.4,0.2,,,,
0.5,0.0,,,,
0.3,0.2,,,,
0.4,0.4,,,,
0.4,0.2,,,,
0.2,0.1,,,,
0.3,0.4,,,,
0.3,0.4,,,,
0.5,0.4,,,,
0.4,0.2,,,,
