train/verb-accuracy,train/noun-accuracy,val/verb-accuracy,val/noun-accuracy,test/verb-accuracy,test/noun-accuracy
0.3,0.0,,,,
0.3,0.1,,,,
0.4,0.0,,,,
0.3,0.0,,,,
0.1,0.0,,,,
0.2,0.1,,,,
0.4,0.0,,,,
0.4,0.1,,,,
0.1,0.0,,,,
0.0,0.0,,,,
0.2,0.0,,,,
0.3,0.1,,,,
0.3,0.1,,,,
0.4,0.0,,,,
0.1,0.0,,,,
0.0,0.1,,,,
0.3,0.0,,,,
0.2,0.0,,,,
0.1,0.1,,,,
0.5,0.0,,,,
0.2,0.1,,,,
0.1,0.0,,,,
0.2,0.1,,,,
0.2,0.0,,,,
0.0,0.0,,,,
0.3,0.0,,,,
0.1,0.1,,,,
0.5,0.1,,,,
0.3,0.0,,,,
0.1,0.0,,,,
0.2,0.0,,,,
0.2,0.1,,,,
0.4,0.0,,,,
0.3,0.0,,,,
0.3,0.0,,,,
0.4,0.0,,,,
0.1,0.0,,,,
0.1,0.1,,,,
0.2,0.0,,,,
0.1,0.0,,,,
0.3,0.0,,,,
0.0,0.0,,,,
0.3,0.1,,,,
0.0,0.1,,,,
0.2,0.0,,,,
0.1,0.2,,,,
0.1,0.0,,,,
0.1,0.0,,,,
0.4,0.1,,,,
,,0.15619967793880837,0.0644122383252818,,
,,,,0.14790996784565916,0.06591639871382636
0.2,0.1,,,,
0.1,0.2,,,,
0.2,0.1,,,,
0.1,0.1,,,,
0.1,0.0,,,,
0.2,0.0,,,,
0.4,0.0,,,,
0.3,0.2,,,,
0.0,0.1,,,,
0.3,0.1,,,,
0.2,0.1,,,,
0.0,0.1,,,,
0.2,0.0,,,,
0.1,0.0,,,,
0.3,0.2,,,,
0.2,0.1,,,,
0.3,0.1,,,,
0.3,0.0,,,,
0.4,0.0,,,,
0.2,0.0,,,,
0.4,0.0,,,,
0.2,0.0,,,,
0.3,0.0,,,,
0.1,0.0,,,,
0.4,0.0,,,,
0.2,0.0,,,,
0.3,0.2,,,,
0.3,0.1,,,,
0.0,0.0,,,,
0.1,0.1,,,,
0.1,0.1,,,,
0.5,0.2,,,,
0.3,0.0,,,,
0.3,0.0,,,,
0.3,0.2,,,,
0.3,0.0,,,,
0.1,0.1,,,,
0.1,0.1,,,,
0.3,0.1,,,,
0.1,0.2,,,,
0.2,0.1,,,,
0.4,0.2,,,,
0.5,0.0,,,,
0.6,0.1,,,,
0.3,0.0,,,,
0.3,0.1,,,,
0.4,0.0,,,,
0.1,0.1,,,,
0.2,0.3,,,,
,,0.21900161030595813,0.027375201288244767,,
,,,,0.20418006430868169,0.03376205787781351
0.1,0.0,,,,
0.4,0.2,,,,
0.3,0.1,,,,
0.2,0.3,,,,
0.2,0.3,,,,
0.1,0.1,,,,
0.5,0.2,,,,
0.2,0.0,,,,
0.4,0.1,,,,
0.1,0.2,,,,
0.2,0.1,,,,
0.1,0.2,,,,
0.4,0.0,,,,
0.2,0.3,,,,
0.1,0.0,,,,
0.0,0.2,,,,
0.3,0.1,,,,
0.1,0.1,,,,
