train/verb-accuracy,train/noun-accuracy,val/verb-accuracy,val/noun-accuracy,test/verb-accuracy,test/noun-accuracy
0.3,0.0,,,,
0.1,0.0,,,,
0.3,0.0,,,,
0.1,0.1,,,,
0.3,0.0,,,,
0.2,0.1,,,,
0.2,0.0,,,,
0.3,0.1,,,,
0.2,0.1,,,,
0.2,0.1,,,,
0.2,0.0,,,,
0.2,0.0,,,,
0.2,0.1,,,,
0.0,0.2,,,,
0.2,0.1,,,,
0.2,0.0,,,,
0.1,0.0,,,,
0.1,0.0,,,,
0.1,0.0,,,,
0.2,0.1,,,,
0.2,0.1,,,,
0.4,0.1,,,,
0.2,0.0,,,,
0.3,0.1,,,,
0.3,0.0,,,,
0.1,0.1,,,,
0.3,0.0,,,,
0.4,0.1,,,,
0.3,0.0,,,,
0.2,0.0,,,,
0.2,0.3,,,,
0.3,0.2,,,,
0.2,0.1,,,,
0.1,0.2,,,,
0.1,0.3,,,,
0.2,0.2,,,,
0.0,0.0,,,,
0.1,0.1,,,,
0.6,0.2,,,,
0.2,0.2,,,,
0.3,0.1,,,,
0.0,0.0,,,,
0.3,0.2,,,,
0.4,0.2,,,,
0.2,0.0,,,,
0.4,0.0,,,,
0.3,0.1,,,,
0.1,0.2,,,,
0.2,0.2,,,,
,,0.21578099838969403,0.1111111111111111,,
,,,,0.22186495176848875,0.1157556270096463
0.0,0.0,,,,
0.2,0.1,,,,
0.3,0.0,,,,
0.5,0.3,,,,
0.3,0.1,,,,
0.5,0.2,,,,
0.2,0.2,,,,
0.2,0.3,,,,
0.4,0.3,,,,
0.5,0.2,,,,
0.4,0.4,,,,
0.5,0.3,,,,
0.4,0.4,,,,
0.4,0.0,,,,
0.2,0.4,,,,
0.4,0.2,,,,
0.5,0.2,,,,
0.4,0.2,,,,
0.3,0.1,,,,
0.4,0.2,,,,
0.2,0.2,,,,
0.2,0.4,,,,
0.4,0.1,,,,
0.2,0.1,,,,
0.3,0.1,,,,
0.5,0.2,,,,
0.3,0.2,,,,
0.2,0.1,,,,
0.1,0.3,,,,
0.2,0.2,,,,
0.5,0.5,,,,
0.3,0.2,,,,
0.2,0.2,,,,
0.6,0.3,,,,
0.1,0.4,,,,
0.3,0.4,,,,
0.4,0.1,,,,
0.4,0.1,,,,
0.2,0.1,,,,
0.3,0.6,,,,
0.5,0.1,,,,
0.2,0.2,,,,
0.0,0.2,,,,
0.1,0.6,,,,
0.2,0.0,,,,
0.3,0.2,,,,
0.4,0.5,,,,
0.6,0.2,,,,
0.5,0.6,,,,
,,0.23349436392914655,0.21900161030595813,,
,,,,0.21221864951768488,0.2282958199356913
0.2,0.3,,,,
0.4,0.4,,,,
0.3,0.3,,,,
0.4,0.3,,,,
0.4,0.3,,,,
0.4,0.2,,,,
0.1,0.3,,,,
0.2,0.1,,,,
0.3,0.5,,,,
0.2,0.3,,,,
0.4,0.1,,,,
0.4,0.2,,,,
0.4,0.4,,,,
0.5,0.1,,,,
0.1,0.3,,,,
0.4,0.4,,,,
0.4,0.4,,,,
0.4,0.5,,,,
0.4,0.4,,,,
0.2,0.4,,,,
0.8,0.6,,,,
0.3,0.2,,,,
0.3,0.4,,,,
0.5,0.3,,,,
0.4,0.2,,,,
0.3,0.4,,,,
0.4,0.4,,,,
0.3,0.3,,,,
0.3,0.5,,,,
0.4,0.1,,,,
