train/verb-accuracy,train/noun-accuracy,val/verb-accuracy,val/noun-accuracy,test/verb-accuracy,test/noun-accuracy
0.1,0.0,,,,
0.0,0.0,,,,
0.1,0.0,,,,
0.3,0.0,,,,
0.1,0.0,,,,
0.0,0.0,,,,
0.2,0.0,,,,
0.1,0.0,,,,
0.1,0.0,,,,
0.0,0.0,,,,
0.4,0.2,,,,
0.4,0.0,,,,
0.4,0.0,,,,
0.2,0.0,,,,
0.2,0.0,,,,
0.2,0.0,,,,
0.1,0.0,,,,
0.2,0.0,,,,
0.1,0.0,,,,
0.3,0.1,,,,
0.4,0.0,,,,
0.3,0.0,,,,
0.0,0.0,,,,
0.0,0.1,,,,
0.0,0.0,,,,
0.0,0.1,,,,
0.1,0.0,,,,
0.1,0.0,,,,
0.4,0.0,,,,
0.3,0.0,,,,
0.1,0.1,,,,
0.1,0.1,,,,
0.7,0.0,,,,
0.1,0.0,,,,
0.3,0.0,,,,
0.3,0.0,,,,
0.2,0.0,,,,
0.1,0.0,,,,
0.2,0.0,,,,
0.1,0.3,,,,
0.0,0.1,,,,
0.2,0.1,,,,
0.0,0.2,,,,
0.4,0.0,,,,
0.4,0.1,,,,
0.1,0.0,,,,
0.1,0.1,,,,
0.1,0.2,,,,
0.2,0.0,,,,
,,0.20933977455716588,0.05958132045088567,,
,,,,0.20418006430868169,0.0707395498392283
0.0,0.0,,,,
0.5,0.1,,,,
0.1,0.0,,,,
0.6,0.1,,,,
0.1,0.2,,,,
0.3,0.2,,,,
0.3,0.0,,,,
0.3,0.0,,,,
0.2,0.1,,,,
0.0,0.0,,,,
0.3,0.1,,,,
0.5,0.0,,,,
0.1,0.0,,,,
0.0,0.0,,,,
0.4,0.1,,,,
0.5,0.0,,,,
0.1,0.1,,,,
0.2,0.0,,,,
0.5,0.0,,,,
0.2,0.1,,,,
0.3,0.2,,,,
0.4,0.0,,,,
0.3,0.0,,,,
0.4,0.1,,,,
0.2,0.1,,,,
0.3,0.0,,,,
0.3,0.1,,,,
0.1,0.2,,,,
0.2,0.2,,,,
0.2,0.1,,,,
0.1,0.0,,,,
0.1,0.2,,,,
0.3,0.1,,,,
0.3,0.3,,,,
0.1,0.0,,,,
0.3,0.1,,,,
0.2,0.1,,,,
0.0,0.1,,,,
0.2,0.0,,,,
0.3,0.0,,,,
0.3,0.0,,,,
0.4,0.1,,,,
0.3,0.0,,,,
0.2,0.0,,,,
0.4,0.1,,,,
0.3,0.1,,,,
0.2,0.1,,,,
0.3,0.2,,,,
0.4,0.3,,,,
,,0.19484702093397746,0.10789049919484701,,
,,,,0.20739549839228297,0.08038585209003216
0.2,0.1,,,,
0.6,0.0,,,,
0.4,0.0,,,,
0.1,0.1,,,,
0.0,0.0,,,,
0.3,0.2,,,,
0.4,0.2,,,,
0.3,0.2,,,,
0.1,0.3,,,,
0.4,0.2,,,,
0.2,0.1,,,,
0.3,0.0,,,,
0.3,0.1,,,,
0.2,0.1,,,,
0.2,0.1,,,,
0.3,0.1,,,,
0.2,0.1,,,,
0.3,0.1,,,,
0.2,0.0,,,,
0.4,0.2,,,,
0.5,0.1,,,,
0.3,0.1,,,,
0.3,0.4,,,,
0.3,0.1,,,,
0.2,0.2,,,,
0.3,0.4,,,,
0.1,0.3,,,,
0.7,0.1,,,,
0.3,0.1,,,,
0.2,0.1,,,,
0.3,0.1,,,,
0.2,0.2,,,,
0.3,0.0,,,,
0.2,0.0,,,,
0.3,0.2,,,,
0.4,0.2,,,,
0.3,0.2,,,,
0.4,0.0,,,,
0.4,0.0,,,,
0.0,0.0,,,,
0.3,0.0,,,,
0.3,0.1,,,,
0.3,0.2,,,,
0.3,0.1,,,,
0.1,0.2,,,,
0.0,0.2,,,,
0.3,0.0,,,,
0.4,0.2,,,,
0.5,0.1,,,,
,,0.16586151368760063,0.05475040257648953,,
,,,,0.1495176848874598,0.04983922829581994
0.2,0.3,,,,
0.2,0.1,,,,
0.5,0.2,,,,
0.2,0.0,,,,
0.4,0.1,,,,
0.2,0.1,,,,
0.1,0.3,,,,
0.3,0.4,,,,
0.2,0.0,,,,
0.2,0.3,,,,
0.4,0.1,,,,
0.1,0.2,,,,
0.2,0.1,,,,
0.1,0.1,,,,
0.4,0.2,,,,
0.1,0.2,,,,
0.1,0.2,,,,
0.1,0.1,,,,
0.4,0.1,,,,
0.5,0.0,,,,
0.2,0.0,,,,
0.1,0.3,,,,
0.3,0.2,,,,
0.3,0.2,,,,
0.5,0.0,,,,
0.2,0.1,,,,
0.2,0.2,,,,
0.3,0.1,,,,
0.5,0.1,,,,
0.3,0.2,,,,
0.5,0.1,,,,
0.4,0.3,,,,
0.1,0.1,,,,
0.5,0.3,,,,
0.4,0.2,,,,
0.3,0.1,,,,
0.1,0.0,,,,
0.3,0.3,,,,
0.1,0.4,,,,
0.6,0.1,,,,
0.3,0.4,,,,
0.2,0.1,,,,
0.5,0.4,,,,
0.2,0.1,,,,
0.2,0.5,,,,
0.3,0.3,,,,
0.5,0.0,,,,
0.3,0.3,,,,
0.2,0.1,,,,
,,0.2286634460547504,0.1529790660225443,,
,,,,0.22347266881028938,0.14790996784565916
0.2,0.0,,,,
0.5,0.3,,,,
0.3,0.3,,,,
0.5,0.1,,,,
0.4,0.5,,,,
0.2,0.2,,,,
0.1,0.1,,,,
0.3,0.1,,,,
0.2,0.3,,,,
0.1,0.4,,,,
0.3,0.1,,,,
0.3,0.1,,,,
0.3,0.2,,,,
0.5,0.1,,,,
0.3,0.1,,,,
0.2,0.4,,,,
0.4,0.4,,,,
0.0,0.2,,,,
0.4,0.0,,,,
0.2,0.3,,,,
0.0,0.3,,,,
0.2,0.2,,,,
0.3,0.3,,,,
0.3,0.2,,,,
0.1,0.1,,,,
0.3,0.0,,,,
0.2,0.2,,,,
0.3,0.2,,,,
0.0,0.1,,,,
0.0,0.0,,,,
0.5,0.3,,,,
0.2,0.3,,,,
0.2,0.3,,,,
0.3,0.1,,,,
0.5,0.4,,,,
0.2,0.2,,,,
0.1,0.4,,,,
0.3,0.3,,,,
0.3,0.0,,,,
0.3,0.0,,,,
0.2,0.2,,,,
0.3,0.1,,,,
0.1,0.2,,,,
0.2,0.2,,,,
0.3,0.1,,,,
0.2,0.2,,,,
0.4,0.2,,,,
0.2,0.1,,,,
0.5,0.1,,,,
,,0.21739130434782608,0.1320450885668277,,
,,,,0.2090032154340836,0.1527331189710611
